Description,InvoiceDate,Country,SaleAmount
RETROSPOT CHILDRENS APRON, 12/5/2010 12:35, United Kingdom,3.9
CHILDRENS APRON SPACEBOY DESIGN, 12/5/2010 12:35, United Kingdom,3.9
PINK FAIRY CAKE CHILDRENS APRON, 12/5/2010 12:43, United Kingdom,11.7
SPACEBOY CHILDRENS EGG CUP, 12/5/2010 13:03, United Kingdom,15
CIRCUS PARADE CHILDRENS EGG CUP , 12/5/2010 13:03, United Kingdom,15
CHILDRENS DOLLY GIRL MUG, 12/5/2010 13:03, United Kingdom,9.9
CHILDRENS APRON APPLES DESIGN, 12/5/2010 13:17, United Kingdom,3.9
RETROSPOT CHILDRENS APRON, 12/5/2010 13:26, United Kingdom,5.85
CHILDRENS APRON SPACEBOY DESIGN, 12/5/2010 13:26, United Kingdom,5.85
SPACEBOY CHILDRENS EGG CUP, 12/5/2010 14:19, Germany,15
CIRCUS PARADE CHILDRENS EGG CUP , 12/5/2010 14:19, Germany,15
CHILDRENS APRON APPLES DESIGN, 12/5/2010 14:19, Germany,15.6
CHILDRENS DOLLY GIRL MUG, 12/6/2010 9:58, United Kingdom,3.36
SCOTTIES CHILDRENS APRON, 12/6/2010 9:58, United Kingdom,3.32
CHILDRENS DOLLY GIRL MUG, 12/6/2010 10:08, United Kingdom,3.36
DOLLY GIRL CHILDRENS EGG CUP, 12/6/2010 10:08, United Kingdom,2.51
PINK POLKADOT CHILDRENS UMBRELLA, 12/6/2010 10:08, United Kingdom,6.77
RED RETROSPOT CHILDRENS UMBRELLA, 12/6/2010 10:08, United Kingdom,20.31
CHILDRENS DOLLY GIRL MUG, 12/6/2010 11:01, United Kingdom,9.9
PINK FAIRY CAKE CHILDRENS APRON, 12/6/2010 12:52, United Kingdom,15.6
CHILDRENS DOLLY GIRL MUG, 12/6/2010 12:55, United Kingdom,1.65
DOLLY GIRL CHILDRENS EGG CUP, 12/6/2010 12:55, United Kingdom,1.25
CHILDRENS DOLLY GIRL MUG, 12/6/2010 12:55, United Kingdom,3.3
DOLLY GIRL CHILDRENS EGG CUP, 12/6/2010 12:55, United Kingdom,3.75
SPACEBOY CHILDRENS EGG CUP, 12/6/2010 12:55, United Kingdom,3.75
CHILDRENS APRON APPLES DESIGN, 12/6/2010 12:55, United Kingdom,3.9
SCOTTIES CHILDRENS APRON, 12/6/2010 13:13, United Kingdom,9.9
CHILDRENS APRON SPACEBOY DESIGN, 12/6/2010 13:13, United Kingdom,11.7
RETROSPOT CHILDRENS APRON, 12/6/2010 13:41, United Kingdom,3.9
CHILDRENS APRON SPACEBOY DESIGN, 12/6/2010 13:58, United Kingdom,3.9
CHILDRENS GARDEN GLOVES BLUE, 12/6/2010 14:31, United Kingdom,1.25
CHILDRENS APRON SPACEBOY DESIGN, 12/6/2010 16:57, United Kingdom,4.21
CHILDRENS GARDEN GLOVES PINK, 12/6/2010 16:57, United Kingdom,2.51
SPACEBOY CHILDRENS EGG CUP, 12/6/2010 16:57, United Kingdom,5.02
CIRCUS PARADE CHILDRENS EGG CUP , 12/6/2010 16:57, United Kingdom,2.51
SCOTTIES CHILDRENS APRON, 12/6/2010 16:57, United Kingdom,6.64
PINK FAIRY CAKE CHILDRENS APRON, 12/6/2010 16:57, United Kingdom,4.21
RED RETROSPOT CHILDRENS UMBRELLA, 12/6/2010 16:57, United Kingdom,6.77
PINK FAIRY CAKE CHILDRENS APRON, 12/7/2010 9:57, United Kingdom,15.6
RED RETROSPOT CHILDRENS UMBRELLA, 12/7/2010 10:08, France,19.5
PINK POLKADOT CHILDRENS UMBRELLA, 12/7/2010 10:08, France,19.5
CHILDRENS GARDEN GLOVES PINK, 12/7/2010 13:01, United Kingdom,12.5
CHILDRENS GARDEN GLOVES BLUE, 12/7/2010 13:01, United Kingdom,12.5
RED RETROSPOT CHILDRENS UMBRELLA, 12/7/2010 15:02, United Kingdom,19.5
CHILDRENS APRON APPLES DESIGN, 12/7/2010 15:28, United Kingdom,8.42
CHILDRENS DOLLY GIRL MUG, 12/7/2010 15:28, United Kingdom,3.36
SPACEBOY CHILDRENS EGG CUP, 12/7/2010 15:28, United Kingdom,5.02
DOLLY GIRL CHILDRENS EGG CUP, 12/7/2010 15:28, United Kingdom,2.51
SCOTTIES CHILDRENS APRON, 12/7/2010 15:28, United Kingdom,11.62
PINK FAIRY CAKE CHILDRENS APRON, 12/7/2010 15:28, United Kingdom,4.21
CHILDRENS APRON SPACEBOY DESIGN, 12/7/2010 15:31, United Kingdom,75.9
PINK FAIRY CAKE CHILDRENS APRON, 12/7/2010 15:31, United Kingdom,126.5
RETROSPOT CHILDRENS APRON, 12/7/2010 15:32, United Kingdom,8.42
CHILDRENS GARDEN GLOVES PINK, 12/7/2010 15:33, United Kingdom,10.08
PINK POLKADOT CHILDRENS UMBRELLA, 12/7/2010 15:33, United Kingdom,13.54
RED RETROSPOT CHILDRENS UMBRELLA, 12/7/2010 15:33, United Kingdom,6.77
RETROSPOT CHILDRENS APRON, 12/7/2010 15:33, United Kingdom,4.21
CHILDRENS GARDEN GLOVES PINK, 12/7/2010 15:34, United Kingdom,3.36
RED RETROSPOT CHILDRENS UMBRELLA, 12/7/2010 15:34, United Kingdom,6.77
CIRCUS PARADE CHILDRENS EGG CUP , 12/7/2010 15:59, United Kingdom,2.5
PINK FAIRY CAKE CHILDRENS APRON, 12/7/2010 15:59, United Kingdom,1.95
CHILDRENS APRON SPACEBOY DESIGN, 12/7/2010 18:36, United Kingdom,4.21
SPACEBOY CHILDRENS EGG CUP, 12/7/2010 18:36, United Kingdom,2.51
DOLLY GIRL CHILDRENS EGG CUP, 12/7/2010 18:36, United Kingdom,2.51
SPACEBOY CHILDRENS EGG CUP, 12/8/2010 10:13, United Kingdom,15
DOLLY GIRL CHILDRENS EGG CUP, 12/8/2010 10:13, United Kingdom,45
CHILDRENS DOLLY GIRL MUG, 12/8/2010 10:13, United Kingdom,19.8
CHILDRENS SPACEBOY MUG, 12/8/2010 10:13, United Kingdom,19.8
CIRCUS PARADE CHILDRENS EGG CUP , 12/8/2010 10:53, United Kingdom,15
CHILDRENS APRON APPLES DESIGN, 12/8/2010 12:35, United Kingdom,3.9
RETROSPOT CHILDRENS APRON, 12/8/2010 12:41, United Kingdom,15.6
PINK FAIRY CAKE CHILDRENS APRON, 12/8/2010 12:41, United Kingdom,15.6
CHILDRENS APRON APPLES DESIGN, 12/8/2010 12:46, United Kingdom,1.95
CHILDRENS APRON SPACEBOY DESIGN, 12/8/2010 13:49, United Kingdom,15.6
CHILDRENS APRON APPLES DESIGN, 12/8/2010 13:49, United Kingdom,15.6
PINK FAIRY CAKE CHILDRENS APRON, 12/8/2010 13:49, United Kingdom,15.6
RETROSPOT CHILDRENS APRON, 12/8/2010 13:49, United Kingdom,15.6
RETROSPOT CHILDRENS APRON, 12/8/2010 13:53, Portugal,15.6
CHILDRENS DOLLY GIRL MUG, 12/8/2010 14:25, United Kingdom,3.36
SPACEBOY CHILDRENS EGG CUP, 12/8/2010 14:25, United Kingdom,2.51
DOLLY GIRL CHILDRENS EGG CUP, 12/8/2010 14:25, United Kingdom,2.51
SCOTTIES CHILDRENS APRON, 12/8/2010 14:25, United Kingdom,3.32
PINK FAIRY CAKE CHILDRENS APRON, 12/8/2010 14:25, United Kingdom,8.42
RED RETROSPOT CHILDRENS UMBRELLA, 12/8/2010 14:25, United Kingdom,6.77
RETROSPOT CHILDRENS APRON, 12/8/2010 14:25, United Kingdom,16.84
CHILDRENS APRON SPACEBOY DESIGN, 12/8/2010 14:25, United Kingdom,12.63
CHILDRENS GARDEN GLOVES PINK, 12/8/2010 14:25, United Kingdom,2.51
CHILDRENS APRON APPLES DESIGN, 12/8/2010 14:25, United Kingdom,4.21
RETROSPOT CHILDRENS APRON, 12/8/2010 16:49, Norway,15.6
RETROSPOT CHILDRENS APRON, 12/9/2010 10:13, Germany,15.6
CHILDRENS DOLLY GIRL MUG, 12/9/2010 10:37, France,19.8
CHILDRENS GARDEN GLOVES PINK, 12/9/2010 10:45, United Kingdom,1.25
CHILDRENS APRON APPLES DESIGN, 12/9/2010 12:17, France,15.6
CHILDRENS DOLLY GIRL MUG, 12/9/2010 12:17, France,19.8
SPACEBOY CHILDRENS EGG CUP, 12/9/2010 12:17, France,15
CIRCUS PARADE CHILDRENS EGG CUP , 12/9/2010 12:17, France,15
DOLLY GIRL CHILDRENS EGG CUP, 12/9/2010 12:17, France,15
RETROSPOT CHILDRENS APRON, 12/9/2010 12:17, EIRE,15.6
CHILDRENS GARDEN GLOVES PINK, 12/9/2010 12:32, United Kingdom,1.25
PINK FAIRY CAKE CHILDRENS APRON, 12/9/2010 13:03, United Kingdom,3.9
CHILDRENS APRON SPACEBOY DESIGN, 12/9/2010 13:03, United Kingdom,3.9
RETROSPOT CHILDRENS APRON, 12/9/2010 13:24, United Kingdom,9.75
CHILDRENS APRON SPACEBOY DESIGN, 12/9/2010 13:24, United Kingdom,9.75
CHILDRENS APRON APPLES DESIGN, 12/9/2010 13:24, United Kingdom,1.95
CHILDRENS DOLLY GIRL MUG, 12/9/2010 13:59, United Kingdom,9.9
RED RETROSPOT CHILDRENS UMBRELLA, 12/9/2010 14:09, United Kingdom,6.77
CHILDRENS APRON SPACEBOY DESIGN, 12/9/2010 14:09, United Kingdom,4.21
CHILDRENS APRON APPLES DESIGN, 12/9/2010 14:09, United Kingdom,4.21
SCOTTIES CHILDRENS APRON, 12/9/2010 14:09, United Kingdom,6.64
PINK POLKADOT CHILDRENS UMBRELLA, 12/9/2010 14:19, United Kingdom,3.25
RED RETROSPOT CHILDRENS UMBRELLA, 12/9/2010 14:19, United Kingdom,3.25
CHILDRENS DOLLY GIRL MUG, 12/9/2010 14:55, United Kingdom,1.65
CHILDRENS GARDEN GLOVES PINK, 12/9/2010 16:31, United Kingdom,10.08
CHILDRENS APRON SPACEBOY DESIGN, 12/9/2010 18:58, United Kingdom,3.9
PINK FAIRY CAKE CHILDRENS APRON, 12/9/2010 18:58, United Kingdom,3.9
CHILDRENS APRON SPACEBOY DESIGN, 12/9/2010 20:01, United Kingdom,7.8
RETROSPOT CHILDRENS APRON, 12/9/2010 20:01, United Kingdom,1.95
PINK FAIRY CAKE CHILDRENS APRON, 12/9/2010 20:01, United Kingdom,1.95
SCOTTIES CHILDRENS APRON, 12/9/2010 20:01, United Kingdom,3.3
RED RETROSPOT CHILDRENS UMBRELLA, 12/10/2010 9:51, United Kingdom,13.54
CHILDRENS DOLLY GIRL MUG, 12/10/2010 9:51, United Kingdom,6.72
SCOTTIES CHILDRENS APRON, 12/10/2010 9:51, United Kingdom,3.32
PINK FAIRY CAKE CHILDRENS APRON, 12/10/2010 9:51, United Kingdom,8.42
RED RETROSPOT CHILDRENS UMBRELLA, 12/10/2010 10:56, France,78
RETROSPOT CHILDRENS APRON, 12/10/2010 11:02, United Kingdom,9.75
CHILDRENS APRON SPACEBOY DESIGN, 12/10/2010 11:02, United Kingdom,11.7
PINK FAIRY CAKE CHILDRENS APRON, 12/10/2010 12:14, United Kingdom,5.85
CHILDRENS APRON SPACEBOY DESIGN, 12/10/2010 12:14, United Kingdom,3.9
PINK FAIRY CAKE CHILDRENS APRON, 12/10/2010 12:33, EIRE,15.6
CHILDRENS APRON SPACEBOY DESIGN, 12/10/2010 12:33, EIRE,15.6
CHILDRENS APRON SPACEBOY DESIGN, 12/10/2010 13:44, United Kingdom,15.6
CIRCUS PARADE CHILDRENS EGG CUP , 12/10/2010 13:50, United Kingdom,15
CIRCUS PARADE CHILDRENS EGG CUP , 12/10/2010 13:58, United Kingdom,45
CHILDRENS DOLLY GIRL MUG, 12/10/2010 14:53, United Kingdom,19.8
DOLLY GIRL CHILDRENS EGG CUP, 12/10/2010 14:53, United Kingdom,15
RED RETROSPOT CHILDRENS UMBRELLA, 12/10/2010 14:59, United Kingdom,6.77
CHILDRENS DOLLY GIRL MUG, 12/10/2010 14:59, United Kingdom,3.36
CIRCUS PARADE CHILDRENS EGG CUP , 12/10/2010 14:59, United Kingdom,10.04
SCOTTIES CHILDRENS APRON, 12/10/2010 14:59, United Kingdom,13.28
PINK FAIRY CAKE CHILDRENS APRON, 12/10/2010 14:59, United Kingdom,8.42
CHILDRENS APRON SPACEBOY DESIGN, 12/10/2010 15:17, United Kingdom,45.54
PINK FAIRY CAKE CHILDRENS APRON, 12/10/2010 15:17, United Kingdom,45.54
CHILDRENS GARDEN GLOVES BLUE, 12/10/2010 15:45, United Kingdom,12.5
CHILDRENS GARDEN GLOVES PINK, 12/10/2010 15:45, United Kingdom,12.5
CHILDRENS DOLLY GIRL MUG, 12/12/2010 10:48, United Kingdom,9.9
SPACEBOY CHILDRENS EGG CUP, 12/12/2010 11:26, United Kingdom,1.25
SCOTTIES CHILDRENS APRON, 12/12/2010 11:54, United Kingdom,4.95
PINK POLKADOT CHILDRENS UMBRELLA, 12/12/2010 12:18, United Kingdom,3.25
RED RETROSPOT CHILDRENS UMBRELLA, 12/12/2010 12:18, United Kingdom,3.25
RETROSPOT CHILDRENS APRON, 12/13/2010 9:35, United Kingdom,4.21
CHILDRENS APRON SPACEBOY DESIGN, 12/13/2010 9:35, United Kingdom,4.21
CHILDRENS APRON APPLES DESIGN, 12/13/2010 9:35, United Kingdom,4.21
SCOTTIES CHILDRENS APRON, 12/13/2010 9:35, United Kingdom,8.3
PINK FAIRY CAKE CHILDRENS APRON, 12/13/2010 9:35, United Kingdom,8.42
CHILDRENS APRON APPLES DESIGN, 12/13/2010 11:21, United Kingdom,4.21
SCOTTIES CHILDRENS APRON, 12/13/2010 11:21, United Kingdom,1.66
RETROSPOT CHILDRENS APRON, 12/13/2010 11:51, United Kingdom,23.4
PINK FAIRY CAKE CHILDRENS APRON, 12/13/2010 12:57, United Kingdom,7.8
SPACEBOY CHILDRENS EGG CUP, 12/13/2010 13:52, United Kingdom,2.5
DOLLY GIRL CHILDRENS EGG CUP, 12/13/2010 13:52, United Kingdom,2.5
CHILDRENS DOLLY GIRL MUG, 12/13/2010 13:52, United Kingdom,3.3
CHILDRENS APRON APPLES DESIGN, 12/13/2010 15:36, United Kingdom,15.6
RETROSPOT CHILDRENS APRON, 12/13/2010 15:36, United Kingdom,15.6
PINK FAIRY CAKE CHILDRENS APRON, 12/14/2010 9:52, United Kingdom,15.6
CHILDRENS APRON SPACEBOY DESIGN, 12/14/2010 10:38, United Kingdom,1.95
PINK FAIRY CAKE CHILDRENS APRON, 12/14/2010 10:38, United Kingdom,1.95
PINK POLKADOT CHILDRENS UMBRELLA, 12/14/2010 12:22, United Kingdom,19.5
RED RETROSPOT CHILDRENS UMBRELLA, 12/14/2010 12:22, United Kingdom,19.5
CHILDRENS GARDEN GLOVES PINK, 12/14/2010 12:30, United Kingdom,1.25
CHILDRENS GARDEN GLOVES BLUE, 12/14/2010 12:30, United Kingdom,1.25
RED RETROSPOT CHILDRENS UMBRELLA, 12/14/2010 13:11, United Kingdom,3.25
CHILDRENS DOLLY GIRL MUG, 12/14/2010 14:11, United Kingdom,6.6
PINK FAIRY CAKE CHILDRENS APRON, 12/14/2010 14:15, United Kingdom,3.9
PINK FAIRY CAKE CHILDRENS APRON, 12/14/2010 14:40, United Kingdom,1.95
SPACEBOY CHILDRENS EGG CUP, 12/14/2010 14:42, United Kingdom,30
DOLLY GIRL CHILDRENS EGG CUP, 12/14/2010 14:42, United Kingdom,15
CIRCUS PARADE CHILDRENS EGG CUP , 12/14/2010 14:42, United Kingdom,15
CHILDRENS DOLLY GIRL MUG, 12/14/2010 14:42, United Kingdom,19.8
CHILDRENS APRON SPACEBOY DESIGN, 12/14/2010 15:29, United Kingdom,40.48
PINK FAIRY CAKE CHILDRENS APRON, 12/14/2010 15:29, United Kingdom,131.56
PINK POLKADOT CHILDRENS UMBRELLA, 12/14/2010 15:52, United Kingdom,6.77
RETROSPOT CHILDRENS APRON, 12/14/2010 15:52, United Kingdom,4.21
CHILDRENS APRON APPLES DESIGN, 12/14/2010 15:56, United Kingdom,4.21
CHILDRENS APRON SPACEBOY DESIGN, 12/14/2010 16:07, United Kingdom,15.6
CHILDRENS APRON APPLES DESIGN, 12/15/2010 12:30, United Kingdom,3.9
RETROSPOT CHILDRENS APRON, 12/15/2010 14:29, United Kingdom,3.9
PINK FAIRY CAKE CHILDRENS APRON, 12/15/2010 14:29, United Kingdom,9.75
SCOTTIES CHILDRENS APRON, 12/15/2010 15:00, United Kingdom,9.9
PINK FAIRY CAKE CHILDRENS APRON, 12/16/2010 12:11, United Kingdom,15.6
SPACEBOY CHILDRENS EGG CUP, 12/16/2010 12:56, United Kingdom,1.25
CIRCUS PARADE CHILDRENS EGG CUP , 12/16/2010 15:47, United Kingdom,15
CIRCUS PARADE CHILDRENS EGG CUP , 12/16/2010 16:45, United Kingdom,1.25
CHILDRENS DOLLY GIRL MUG, 12/16/2010 17:48, United Kingdom,19.8
CHILDRENS APRON SPACEBOY DESIGN, 12/17/2010 8:20, United Kingdom,15.6
RETROSPOT CHILDRENS APRON, 12/17/2010 11:30, Portugal,15.6
PINK FAIRY CAKE CHILDRENS APRON, 12/17/2010 11:30, Portugal,15.6
CHILDRENS APRON SPACEBOY DESIGN, 12/17/2010 13:49, United Kingdom,46.8
SPACEBOY CHILDRENS EGG CUP, 12/17/2010 13:49, United Kingdom,15
RED RETROSPOT CHILDRENS UMBRELLA, 12/17/2010 14:41, United Kingdom,6.77
SCOTTIES CHILDRENS APRON, 12/17/2010 14:41, United Kingdom,11.62
PINK FAIRY CAKE CHILDRENS APRON, 12/17/2010 14:41, United Kingdom,4.21
RETROSPOT CHILDRENS APRON, 12/17/2010 14:49, United Kingdom,4.21
SCOTTIES CHILDRENS APRON, 12/17/2010 14:49, United Kingdom,4.98
CHILDRENS GARDEN GLOVES PINK, 12/17/2010 14:54, United Kingdom,2.51
SCOTTIES CHILDRENS APRON, 12/17/2010 14:54, United Kingdom,4.98
PINK FAIRY CAKE CHILDRENS APRON, 12/17/2010 14:54, United Kingdom,4.21
DOLLY GIRL CHILDRENS EGG CUP, 12/17/2010 16:53, United Kingdom,1.25
SPACEBOY CHILDRENS EGG CUP, 12/17/2010 16:53, United Kingdom,1.25
SPACEBOY CHILDRENS EGG CUP, 12/17/2010 16:53, United Kingdom,2.5
DOLLY GIRL CHILDRENS EGG CUP, 12/17/2010 16:53, United Kingdom,2.5
CHILDRENS APRON APPLES DESIGN, 12/17/2010 16:59, United Kingdom,4.21
SPACEBOY CHILDRENS EGG CUP, 12/17/2010 16:59, United Kingdom,2.51
CIRCUS PARADE CHILDRENS EGG CUP , 12/17/2010 16:59, United Kingdom,2.51
DOLLY GIRL CHILDRENS EGG CUP, 12/17/2010 16:59, United Kingdom,2.51
SCOTTIES CHILDRENS APRON, 12/17/2010 16:59, United Kingdom,4.98
PINK FAIRY CAKE CHILDRENS APRON, 12/17/2010 16:59, United Kingdom,8.42
RED RETROSPOT CHILDRENS UMBRELLA, 12/17/2010 16:59, United Kingdom,13.54
CHILDRENS APRON SPACEBOY DESIGN, 12/17/2010 16:59, United Kingdom,4.21
CHILDRENS APRON SPACEBOY DESIGN, 12/17/2010 17:08, United Kingdom,4.21
CHILDRENS APRON APPLES DESIGN, 12/17/2010 17:08, United Kingdom,4.21
CHILDRENS DOLLY GIRL MUG, 12/17/2010 17:08, United Kingdom,6.72
SPACEBOY CHILDRENS EGG CUP, 12/17/2010 17:08, United Kingdom,5.02
CIRCUS PARADE CHILDRENS EGG CUP , 12/17/2010 17:08, United Kingdom,7.53
SCOTTIES CHILDRENS APRON, 12/17/2010 17:08, United Kingdom,6.64
PINK FAIRY CAKE CHILDRENS APRON, 12/17/2010 17:08, United Kingdom,4.21
CIRCUS PARADE CHILDRENS EGG CUP , 12/19/2010 11:19, United Kingdom,15
DOLLY GIRL CHILDRENS EGG CUP, 12/19/2010 15:44, United Kingdom,15
SPACEBOY CHILDRENS EGG CUP, 12/19/2010 15:44, United Kingdom,15
CHILDRENS APRON SPACEBOY DESIGN, 12/20/2010 10:14, United Kingdom,4.21
SPACEBOY CHILDRENS EGG CUP, 12/20/2010 10:14, United Kingdom,2.51
SCOTTIES CHILDRENS APRON, 12/20/2010 10:14, United Kingdom,3.32
RED RETROSPOT CHILDRENS UMBRELLA, 12/20/2010 11:38, France,19.5
PINK POLKADOT CHILDRENS UMBRELLA, 12/20/2010 11:38, France,19.5
